,name,city,country,iata_code,latitude,longitude,links_count
2726,Yasuj Airport,Yasuj,Iran,YES,30.700556,51.545,2
2727,Sao Gabriel da Cachoeira Airport,Sao Gabriel da Cachoeira,Brazil,SJL,-0.148056,-66.9858,2
2728,Longyan Airport,Longyan,China,LCX,25.674167,116.746389,2
2729,Burevestnik Airport,Iturup Island,Russia,BVV,44.92,147.621667,2
2730,Olgii Airport,Olgii,Mongolia,ULG,48.991667,89.919722,2
2731,Lleida-Alguaire Airport,Lleida,Spain,ILD,41.727778,0.535833,2
2732,Pakuba Airport,Pakuba,Uganda,PAF,2.3275,31.5,2
2733,Guanambi Airport,Guanambi,Brazil,GNM,-14.216667,-42.783333,2
2734,Barcelos Airport,Barcelos,Brazil,BAZ,-0.975,-62.923889,2
2735,Coari Airport,Coari,Brazil,CIZ,-4.085,-63.140833,2
2736,Araxa Airport,Araxa,Brazil,AAX,-19.563056,-46.960278,2
2737,General leite de Castro Airport,Rio Verde,Brazil,RVD,-17.790278,-50.918333,2
2738,Tancredo Thomaz de Faria Airport,Guarapuava,Brazil,GPB,-25.383333,-51.45,2
2739,Rondonopolis Airport,Rondonopolis,Brazil,ROO,-16.466667,-54.633333,2
2740,Minacu Airport,Minacu,Brazil,MQH,-13.526944,-48.220556,2
2741,Julio Belem Airport,Parintins,Brazil,PIN,-2.627778,-56.735833,2
2742,Gurupi Airport,Gurupi,Brazil,GRP,-11.728889,-49.068889,2
2743,Villa Garzon Airport,Villa Garzon,Colombia,VGZ,0.978889,-76.605556,2
2744,La Macarena,La Macarena,Colombia,LMC,2.179167,-73.7875,2
2745,Uyuni Airport,Uyuni,Bolivia,UYU,-20.466667,-66.833333,2
2746,Christiansted Harbor Seaplane Base,Christiansted,Virgin Islands,SSB,17.747222,-64.705,2
2747,Manley Hot Springs Airport,Manley Hot Springs,United States,MLY,64.9975,-150.644167,2
2748,Kake Seaplane Base,Kake,United States,KAE,56.973056,-133.945556,2
2749,Healy River Airport,Healy,United States,HKB,63.8675,-148.968889,2
2750,Stony River 2 Airport,Stony River,United States,SRV,61.7875,-156.591111,2
2751,Red Devil Airport,Red Devil,United States,RDV,61.788056,-157.350278,2
2752,Circle City Airport,Circle,United States,IRC,65.827778,-144.076111,2
2753,Ornskoldsvik,Ornskoldsvik,Sweden,OER,63.408339,18.990039,2
2754,Takotna Airport,Takotna,United States,TCT,62.971944,-156.082778,2
2755,Nikolai Airport,Nikolai,United States,NIB,63.010833,-154.383889,2
2756,Nelson Lagoon,Nelson Lagoon,United States,NLG,56.0075,-161.160278,2
2757,False Pass Airport,False Pass,United States,KFP,54.8475,-163.410278,2
2758,Nikolski Air Station,Nikolski,United States,IKO,52.941667,-168.848889,2
2759,Atka Airport,Atka,United States,AKB,52.220278,-174.206389,2
2760,Tin City LRRS Airport,Tin City,United States,TNC,65.563056,-167.921667,2
2761,Seal Bay Seaplane Base,Seal Bay,United States,SYB,58.166667,-152.5,2
2762,Kitoi Bay Seaplane Base,Kitoi Bay,United States,KKB,58.190833,-152.370556,2
2763,Amook Bay Seaplane Base,Amook Bay,United States,AOS,57.471389,-153.815278,2
2764,Larsen Bay Airport,Larsen Bay,United States,KLN,57.535,-153.976667,2
2765,Akhiok Airport,Akhiok,United States,AKK,56.938611,-154.1825,2
2766,South Naknek Airport,South Naknek,United States,WSN,58.702222,-157.0025,2
2767,Pilot Point Airport,Pilot Point,United States,PIP,57.585393,-157.571944,2
2768,Perryville Airport,Perryville,United States,KPV,55.906667,-159.160833,2
2769,Chignik Lagoon Airport,Chignik Lagoon,United States,KCL,56.311111,-158.534167,2
2770,Egegik Airport,Egegik,United States,EGX,58.185556,-157.375556,2
2771,Chignik Lake Airport,Chignik Lake,United States,KCQ,56.255,-158.775278,2
2772,North Whale Seaplane Base,North Whale Pass,United States,WWP,56.116389,-133.121667,2
2773,Port Protection Seaplane Base,Port Protection,United States,PPV,56.328889,-133.61,2
2774,Point Baker Seaplane Base,Point Baker,United States,KPB,56.351944,-133.6225,2
2775,Hydaburg Seaplane Base,Hydaburg,United States,HYG,55.206389,-132.828333,2
2776,Excursion Inlet Seaplane Base,Excursion Inlet,United States,EXI,58.420556,-135.449167,2
2777,Pelican Seaplane Base,Pelican,United States,PEC,57.955278,-136.236389,2
2778,Tenakee Seaplane Base,Tenakee Springs,United States,TKE,57.779722,-135.218333,2
2779,Elfin Cove Seaplane Base,Elfin Cove,United States,ELV,58.195278,-136.3475,2
2780,Angoon Seaplane Base,Angoon,United States,AGN,57.503611,-134.585,2
2781,Merced Municipal Airport,Merced,United States,MCE,37.284722,-120.513889,2
2782,Visalia Municipal Airport,Visalia,United States,VIS,36.318611,-119.392778,2
2783,Coldfoot Airport,Coldfoot,United States,CXF,67.251389,-150.176111,2
2784,Birch Creek Airport,Brich Creek,United States,KBC,66.256708,-145.815319,2
2785,Central Airport,Central,United States,CEM,65.573889,-144.780833,2
2786,Rampart Airport,Rampart,United States,RMP,65.507778,-150.140833,2
2787,Minto Airport,Minto,United States,MNT,65.143611,-149.37,2
2788,Levelock Airport,Levelock,United States,KLL,59.128056,-156.858611,2
2789,Chuathbaluk Airport,Chuathbaluk,United States,CHU,61.579167,-159.215556,2
2790,Orcas Island Airport,Eastsound,United States,ESD,48.708056,-122.910556,2
2791,Friday Harbor Airport,Friday Harbor,United States,FRD,48.521944,-123.024444,2
2792,Vernal Regional Airport,Vernal,United States,VEL,40.440833,-109.51,2
2793,Canyonlands Field,Moab,United States,CNY,38.755,-109.754722,2
2794,LM Clayton Airport,Wolf Point,United States,OLF,48.094444,-105.575,2
2795,Dawson Community Airport,Glendive,United States,GDV,47.138611,-104.807222,2
2796,McCook Regional Airport,McCook,United States,MCK,40.206389,-100.592222,2
2797,Sidney-Richland Municipal Airport,Sidney,United States,SDY,47.706944,-104.1925,2
2798,Manistee County-Blacker Airport,Manistee,United States,MBL,44.2725,-86.246944,2
2799,Gunnison - Crested Butte,Gunnison,United States,GUC,38.533889,-106.933056,2
2800,Gelendzik,Gelendzik,Russia,GDZ,44.566666666667,38.016666666667,2
2801,Kristianstad,Kristianstad,Sweden,KID,55.921686,14.085536,2
2802,Thief River Falls,Thief River Falls,United States,TVF,48.065556,-96.185,2
2803,St. Augustine Airport,St. Augustine Airport,United States,UST,29.959167,-81.339722,2
2804,Tunoshna,Yaroslavl,Russia,IAR,57.560666676667,40.157369454444,2
2805,Trollhattan Vanersborg,Trollhattan,Sweden,THN,58.318056,12.345,2
2806,Pangborn Field,Wenatchee,United States,EAT,47.398,-120.206,2
2807,Eastern Oregon Regional Airport,Pendleton,United States,PDT,45.695,-118.841389,2
2808,Riverton Regional,Riverton WY,United States,RIW,43.064167,-108.459722,2
2809,Montrose Regional Airport,Montrose CO,United States,MTJ,38.509794,-107.894242,2
2810,Williamson Country Regional Airport,Marion,United States,MWA,37.7549569,-89.0110936,2
2811,Culebra Airport,Culebra Island,Puerto Rico,CPX,18.3127,-65.3034,2
2812,Delta County Airport,Escanaba,United States,ESC,45.722778,-87.093611,2
